,OPEN,HIGH,LOW,CLOSE,RSI
2014-11-11 00:00:00.005,2483.648,2508.623,2445.96,2469.673,0.0
2014-11-12 00:00:00.005,2454.602,2494.917,2444.814,2494.476,0.0
2014-11-13 00:00:00.005,2494.998,2507.743,2471.407,2485.606,0.0
2014-11-14 00:00:00.005,2477.966,2481.025,2457.045,2478.824,0.0
2014-11-17 00:00:00.005,2506.864,2508.767,2472.446,2474.009,0.0
2014-11-18 00:00:00.005,2474.182,2477.052,2449.813,2456.366,0.0
2014-11-19 00:00:00.005,2452.15,2461.491,2442.71,2450.986,0.0
2014-11-20 00:00:00.005,2443.276,2458.319,2437.476,2452.66,0.0
2014-11-21 00:00:00.005,2452.635,2488.201,2446.646,2486.791,0.0
2014-11-24 00:00:00.005,2505.532,2546.746,2495.521,2532.879,0.0
2014-11-25 00:00:00.005,2531.998,2568.381,2527.077,2567.597,0.0
2014-11-26 00:00:00.005,2572.649,2605.07,2570.404,2604.345,0.0
2014-11-27 00:00:00.005,2615.367,2631.399,2599.108,2630.486,0.0
2014-11-28 00:00:00.005,2629.626,2683.18,2622.061,2682.835,0.0
2014-12-01 00:00:00.005,2691.725,2720.743,2668.841,2680.155,0.0
2014-12-02 00:00:00.005,2667.82,2777.372,2665.686,2763.545,0.0
2014-12-03 00:00:00.005,2768.678,2824.179,2733.868,2779.525,0.0
2014-12-04 00:00:00.005,2783.469,2900.508,2772.432,2899.456,0.0
2014-12-05 00:00:00.005,2926.573,2978.029,2813.052,2937.647,0.0
2014-12-08 00:00:00.005,2907.815,3041.657,2879.847,3020.258,0.0
2014-12-09 00:00:00.005,2992.49,3091.324,2834.592,2856.269,0.0
2014-12-10 00:00:00.005,2855.94,2946.707,2807.678,2940.006,0.0
2014-12-11 00:00:00.005,2912.346,2965.675,2892.611,2925.743,0.0
2014-12-12 00:00:00.005,2929.36,2962.51,2914.956,2938.173,0.0
2014-12-15 00:00:00.005,2921.446,2960.227,2890.904,2953.421,0.0
2014-12-16 00:00:00.005,2953.811,3021.897,2943.912,3021.518,0.0
2014-12-17 00:00:00.005,3031.952,3076.599,2993.333,3061.02,0.0
2014-12-18 00:00:00.005,3062.801,3089.791,3030.319,3057.521,0.0
2014-12-19 00:00:00.005,3053.075,3117.527,3018.421,3108.596,0.0
2014-12-22 00:00:00.005,3129.267,3189.867,3090.509,3127.445,0.0
2014-12-23 00:00:00.005,3085.08,3136.838,3025.667,3032.612,0.0
2014-12-24 00:00:00.005,3039.206,3050.507,2934.911,2972.532,0.0
2014-12-25 00:00:00.005,2992.462,3073.345,2969.874,3072.536,0.0
2014-12-26 00:00:00.005,3078.005,3164.155,3064.176,3157.603,0.0
2014-12-29 00:00:00.005,3212.559,3223.86,3126.944,3168.016,0.0
2014-12-30 00:00:00.005,3160.801,3190.299,3130.353,3165.815,0.0
2014-12-31 00:00:00.005,3172.597,3239.357,3157.259,3234.677,0.0
2015-01-05 00:00:00.005,3258.627,3369.281,3253.883,3350.519,0.0
2015-01-06 00:00:00.005,3330.799,3394.224,3303.184,3351.446,0.0
2015-01-07 00:00:00.005,3326.649,3374.896,3312.211,3373.954,0.0
2015-01-08 00:00:00.005,3371.957,3381.566,3285.095,3293.456,0.0
2015-01-09 00:00:00.005,3276.965,3404.834,3267.509,3285.412,0.0
2015-01-12 00:00:00.005,3258.213,3275.185,3191.582,3229.316,0.0
2015-01-13 00:00:00.005,3223.542,3259.386,3214.412,3235.301,0.0
2015-01-14 00:00:00.005,3242.337,3268.483,3193.978,3222.437,0.0
2015-01-15 00:00:00.005,3224.07,3337.084,3207.545,3336.455,0.0
2015-01-16 00:00:00.005,3343.603,3400.318,3340.49,3376.495,0.0
2015-01-19 00:00:00.005,3189.727,3262.207,3095.066,3116.351,0.0
2015-01-20 00:00:00.005,3114.56,3190.245,3100.477,3173.052,0.0
2015-01-21 00:00:00.005,3189.085,3337.004,3178.343,3323.611,0.0
2015-01-22 00:00:00.005,3327.319,3352.384,3293.978,3343.344,0.0
2015-01-23 00:00:00.005,3357.096,3406.786,3328.293,3351.764,0.0
2015-01-26 00:00:00.005,3347.257,3384.798,3321.315,3383.182,0.0
2015-01-27 00:00:00.005,3389.853,3390.216,3290.219,3352.96,0.0
2015-01-28 00:00:00.005,3325.722,3354.802,3294.655,3305.738,0.0
2015-01-29 00:00:00.005,3258.997,3286.786,3234.241,3262.305,0.0
2015-01-30 00:00:00.005,3273.747,3288.503,3210.308,3210.363,0.0
2015-02-02 00:00:00.005,3148.136,3175.134,3122.572,3128.3,0.0
2015-02-03 00:00:00.005,3156.086,3207.935,3129.732,3204.907,0.0
2015-02-04 00:00:00.005,3212.822,3238.982,3171.144,3174.126,0.0
